time,total_events,window_size,slide
90  ,737075      ,10         ,1
91  ,745218      ,10         ,1
92  ,754920      ,10         ,1
93  ,761998      ,10         ,1
94  ,769931      ,10         ,1
95  ,776731      ,10         ,1
96  ,785588      ,10         ,1
97  ,794283      ,10         ,1
98  ,799777      ,10         ,1
99  ,807554      ,10         ,1
100 ,815498      ,10         ,1
101 ,823280      ,10         ,1
102 ,830503      ,10         ,1
103 ,839818      ,10         ,1
104 ,846427      ,10         ,1
105 ,852576      ,10         ,1
106 ,862029      ,10         ,1
107 ,870592      ,10         ,1
108 ,875893      ,10         ,1
109 ,884667      ,10         ,1
110 ,891663      ,10         ,1
111 ,900078      ,10         ,1
112 ,906192      ,10         ,1
113 ,915321      ,10         ,1
114 ,922120      ,10         ,1
115 ,927887      ,10         ,1
116 ,937172      ,10         ,1
117 ,945934      ,10         ,1
118 ,952256      ,10         ,1
119 ,957400      ,10         ,1
120 ,966452      ,10         ,1
121 ,975244      ,10         ,1
122 ,980742      ,10         ,1
123 ,989733      ,10         ,1
124 ,997167      ,10         ,1
125 ,1003017     ,10         ,1
126 ,1007835     ,10         ,1
127 ,1017487     ,10         ,1
128 ,1026769     ,10         ,1
129 ,1031507     ,10         ,1
130 ,1040863     ,10         ,1
131 ,1049267     ,10         ,1
1   ,8630        ,20         ,1
2   ,17105       ,20         ,1
3   ,26761       ,20         ,1
4   ,34077       ,20         ,1
5   ,43542       ,20         ,1
6   ,52687       ,20         ,1
7   ,62086       ,20         ,1
8   ,67276       ,20         ,1
9   ,76914       ,20         ,1
10  ,86300       ,20         ,1
11  ,95180       ,20         ,1
12  ,104663      ,20         ,1
13  ,114146      ,20         ,1
14  ,123617      ,20         ,1
15  ,131073      ,20         ,1
16  ,138471      ,20         ,1
17  ,147169      ,20         ,1
18  ,156145      ,20         ,1
19  ,165388      ,20         ,1
20  ,174765      ,20         ,1
21  ,181645      ,20         ,1
22  ,190074      ,20         ,1
23  ,198483      ,20         ,1
24  ,206386      ,20         ,1
25  ,214601      ,20         ,1
26  ,223417      ,20         ,1
27  ,232286      ,20         ,1
28  ,237904      ,20         ,1
29  ,246452      ,20         ,1
30  ,255661      ,20         ,1
31  ,262150      ,20         ,1
32  ,271840      ,20         ,1
33  ,281195      ,20         ,1
34  ,290393      ,20         ,1
35  ,299283      ,20         ,1
36  ,307724      ,20         ,1
37  ,316024      ,20         ,1
38  ,325067      ,20         ,1
39  ,333842      ,20         ,1
40  ,341353      ,20         ,1
41  ,349194      ,20         ,1
42  ,353228      ,20         ,1
43  ,362928      ,20         ,1
44  ,372335      ,20         ,1
45  ,381690      ,20         ,1
46  ,390841      ,20         ,1
47  ,399336      ,20         ,1
48  ,404385      ,20         ,1
49  ,413214      ,20         ,1
50  ,422038      ,20         ,1
51  ,429031      ,20         ,1
52  ,437267      ,20         ,1
53  ,446521      ,20         ,1
54  ,449614      ,20         ,1
55  ,459331      ,20         ,1
56  ,468714      ,20         ,1
57  ,478085      ,20         ,1
58  ,487360      ,20         ,1
59  ,496759      ,20         ,1
60  ,504071      ,20         ,1
61  ,511641      ,20         ,1
62  ,518622      ,20         ,1
63  ,526151      ,20         ,1
64  ,535145      ,20         ,1
65  ,544312      ,20         ,1
66  ,546432      ,20         ,1
